p0_rank,p1_rank,p0_odds,p1_odds,tourney_date,winner
45.0,148.0,1.28,3.5,2011-09-19,1.0
32.0,47.0,1.53,2.37,2017-01-09,0.0
27.0,101.0,1.36,3.2,2021-09-20,1.0
11.0,125.0,1.16,5.0,2012-07-16,0.0
10.0,40.0,1.33,3.25,2012-02-20,0.0
56.0,159.0,1.8,1.9,2006-04-24,0.0
49.0,93.0,1.57,2.25,2013-02-25,1.0
53.0,56.0,1.61,2.2,2013-01-07,0.0
89.0,292.0,1.28,3.5,2008-08-25,0.0
21.0,30.0,1.66,2.1,2010-07-12,1.0
24.0,28.0,1.4,2.75,2009-10-26,0.0
44.0,214.0,1.1,6.5,2008-07-14,0.0
13.0,77.0,1.04,10.0,2011-01-03,0.0
39.0,71.0,1.3,3.39,2008-06-09,0.0
10.0,23.0,1.33,3.25,2013-05-27,0.0
111.0,114.0,2.37,1.53,2010-05-24,1.0
34.0,38.0,3.25,1.33,2011-06-20,1.0
47.0,127.0,1.22,4.0,2014-07-07,0.0
101.0,105.0,2.37,1.53,2015-02-02,1.0
6.0,29.0,1.36,3.0,2020-02-10,0.0
10.0,15.0,1.66,2.2,2018-04-23,0.0
80.0,275.0,1.2,4.33,2012-01-01,1.0
36.0,91.0,1.53,2.37,2014-02-17,0.0
27.0,64.0,1.72,2.0,2007-05-20,1.0
13.0,37.0,1.36,3.0,2019-06-17,0.0
86.0,147.0,1.61,2.2,2006-10-02,1.0
11.0,93.0,1.3,3.4,2018-04-30,0.0
25.0,47.0,1.5,2.5,2012-05-27,0.0
69.0,129.0,2.1,1.66,2015-03-25,1.0
26.0,122.0,1.44,2.75,2017-10-16,0.0
68.0,82.0,1.8,1.9,2012-07-09,1.0
69.0,109.0,1.8,2.0,2022-02-14,0.0
19.0,66.0,1.66,2.1,2013-08-05,1.0
22.0,64.0,1.4,3.0,2010-07-26,0.0
5.0,27.0,1.66,2.1,2007-03-05,0.0
33.0,85.0,2.25,1.57,2019-05-20,1.0
81.0,138.0,1.61,2.3,2017-07-24,1.0
37.0,80.0,1.72,2.1,2022-07-25,1.0
71.0,76.0,3.25,1.33,2013-01-14,0.0
119.0,133.0,2.37,1.57,2021-09-20,1.0
36.0,89.0,1.2,4.33,2013-02-04,0.0
35.0,113.0,1.5,2.62,2022-01-31,0.0
73.0,76.0,1.36,3.0,2017-05-15,0.0
103.0,143.0,1.5,2.5,2018-02-26,1.0
46.0,56.0,3.75,1.22,2006-10-23,1.0
100.0,150.0,3.0,1.4,2021-03-01,1.0
156.0,225.0,1.53,2.37,2018-06-25,0.0
40.0,174.0,1.16,4.5,2010-06-21,0.0
46.0,368.0,1.25,3.75,2016-04-25,0.0
34.0,167.0,1.36,3.0,2007-06-11,0.0
116.0,129.0,3.4,1.3,2009-08-31,1.0
91.0,109.0,2.25,1.57,2011-02-14,1.0
35.0,87.0,1.5,2.5,2009-11-08,0.0
10.0,122.0,1.16,5.0,2019-07-29,0.0
38.0,43.0,1.44,2.75,2019-05-27,0.0
64.0,96.0,2.0,1.72,2011-10-31,0.0
96.0,121.0,1.28,3.75,2020-08-31,0.0
28.0,50.0,1.83,1.83,2006-04-10,1.0
40.0,75.0,1.44,2.75,2022-01-31,1.0
49.0,86.0,1.14,5.0,2006-10-23,0.0
39.0,54.0,2.37,1.57,2022-10-10,0.0
54.0,81.0,2.25,1.53,2013-08-26,1.0
22.0,69.0,1.36,3.0,2016-02-08,0.0
52.0,98.0,1.44,2.75,2021-05-24,0.0
61.0,87.0,1.61,2.2,2019-07-29,0.0
43.0,109.0,1.5,2.5,2013-08-26,0.0
123.0,168.0,2.37,1.57,2020-08-31,1.0
54.0,92.0,2.0,1.72,2008-03-13,1.0
22.0,52.0,1.44,2.62,2011-08-21,0.0
14.0,107.0,1.07,7.5,2010-01-04,0.0
51.0,107.0,1.22,4.0,2016-02-22,0.0
44.0,73.0,1.33,3.25,2010-04-19,0.0
15.0,19.0,1.8,2.0,2016-03-21,0.0
13.0,65.0,1.16,4.5,2010-01-03,0.0
7.0,134.0,1.11,6.0,2007-07-30,0.0
37.0,41.0,1.61,2.2,2010-08-30,1.0
32.0,179.0,1.2,4.33,2009-05-04,1.0
3.0,35.0,1.01,23.0,2015-08-31,0.0
29.0,102.0,1.33,3.25,2014-07-14,0.0
29.0,38.0,1.66,2.1,2012-05-06,0.0
156.0,161.0,2.5,1.53,2015-07-13,1.0
61.0,279.0,1.53,2.5,2022-10-10,0.0
